method,start,end,weeks
Monte Carlo 90%,2006-05-05,2006-05-05,1
Monte Carlo 90%,2008-10-03,2008-12-12,11
Monte Carlo 90%,2008-12-26,2008-12-26,1
Monte Carlo 90%,2009-01-23,2009-01-30,2
Monte Carlo 90%,2009-02-27,2009-03-06,2
Monte Carlo 90%,2018-01-12,2018-01-26,3
Monte Carlo 90%,2020-08-21,2020-09-04,3
Monte Carlo 90%,2020-10-09,2020-10-23,3
Monte Carlo 90%,2020-11-06,2020-11-13,2
Monte Carlo 90%,2020-11-27,2021-02-19,13
Monte Carlo 90%,2021-04-02,2021-05-07,6
Monte Carlo 90%,2021-05-28,2022-01-14,34
Wild bootstrap 90%,2008-10-10,2008-10-24,3
Wild bootstrap 90%,2008-11-14,2008-11-21,2
Wild bootstrap 90%,2017-05-05,2017-05-05,1
Wild bootstrap 90%,2018-01-05,2018-01-26,4
Wild bootstrap 90%,2020-02-14,2020-02-14,1
Wild bootstrap 90%,2021-02-05,2021-02-19,3
Wild bootstrap 90%,2021-04-09,2021-05-07,5
Wild bootstrap 90%,2021-06-04,2022-01-14,33
Monte Carlo 95%,2008-10-10,2008-10-24,3
Monte Carlo 95%,2008-11-07,2008-12-05,5
Monte Carlo 95%,2009-03-06,2009-03-06,1
Monte Carlo 95%,2018-01-26,2018-01-26,1
Monte Carlo 95%,2021-07-23,2021-07-23,1
Monte Carlo 95%,2021-08-27,2021-09-03,2
Monte Carlo 95%,2021-11-05,2021-11-19,3
Monte Carlo 95%,2021-12-10,2021-12-10,1
Monte Carlo 95%,2021-12-24,2021-12-31,2
Wild bootstrap 95%,2008-10-10,2008-10-10,1
Wild bootstrap 95%,2008-10-24,2008-10-24,1
Wild bootstrap 95%,2008-11-21,2008-11-21,1
Wild bootstrap 95%,2018-01-19,2018-01-26,2
Wild bootstrap 95%,2021-08-27,2021-09-10,3
Wild bootstrap 95%,2021-10-29,2021-12-10,7
Wild bootstrap 95%,2021-12-24,2021-12-31,2
Monte Carlo 99%,2008-10-10,2008-10-10,1
Monte Carlo 99%,2008-10-24,2008-10-24,1
Monte Carlo 99%,2008-11-14,2008-11-21,2
