date,price,div_yield_12m,pd_ratio,log_pd_ratio
2005-01-07,1564.81,1.1855,1319.957824,7.1853550635548045
2005-01-14,1561.11,1.1873,1314.840394,7.181470563861489
2005-01-21,1503.64,1.2327,1219.793948,7.106437228380955
2005-01-28,1499.46,1.2372,1211.978661,7.100009560038621
2005-02-04,1534.49,1.2181,1259.74058,7.138661089858608
2005-02-11,1530.51,1.2226,1251.84852,7.132376553924778
2005-02-18,1515.4,1.2384,1223.675711,7.109614485975477
2005-02-25,1526.9,1.2459,1225.53977,7.111136654501994
2005-03-04,1520.58,1.2511,1215.394453,7.10282395576127
2005-03-11,1505.64,1.2637,1191.453668,7.0829294103442155
2005-03-18,1484.4,1.2818,1158.05898,7.054500589478405
2005-03-25,1469.94,1.2956,1134.563137,7.034002954500391
2005-04-01,1469.35,1.2874,1141.331366,7.039950724877084
2005-04-08,1485.6,1.2726,1167.37388,7.0625119580119256
2005-04-15,1408.59,1.3436,1048.370051,6.954991904654349
2005-04-22,1421.21,1.3317,1067.214838,6.972807578737868
2005-04-29,1420.79,1.3355,1063.863721,6.969662579931502
2005-05-06,1456.0,1.3114,1110.26384,7.012352959755403
2005-05-13,1470.63,1.3007,1130.645037,7.030543578048911
2005-05-20,1528.06,1.2543,1218.257195,7.105176587718899
2005-05-27,1549.8,1.2432,1246.621622,7.128192469002127
2005-06-03,1544.48,1.2475,1238.06012,7.121301014262528
2005-06-10,1521.02,1.2671,1200.394602,7.090405616721712
2005-06-17,1538.13,1.2534,1227.166108,7.112462812891339
2005-06-24,1500.18,1.2788,1173.115421,7.0674182419371645
2005-07-01,1490.53,1.2884,1156.884508,7.053485901986587
2005-07-08,1533.27,1.2452,1231.344362,7.115861828737484
2005-07-15,1577.82,1.2099,1304.091247,7.173261714731735
2005-07-22,1600.76,1.1931,1341.681334,7.201678833298711
2005-07-29,1605.14,1.1855,1353.977225,7.210801632798995
2005-08-05,1601.59,1.1954,1339.794211,7.200271307270684
2005-08-12,1591.75,1.2158,1309.220266,7.177187022189465
2005-08-19,1573.72,1.2723,1236.909534,7.120371236330884
2005-08-26,1558.84,1.2875,1210.749515,7.098994880705105
2005-09-02,1573.12,1.2771,1231.790776,7.116224304996297
2005-09-09,1607.83,1.2556,1280.527238,7.155027176791715
2005-09-16,1599.44,1.2622,1267.184281,7.144552616469336
2005-09-23,1571.75,1.2753,1232.455109,7.116763482535469
2005-09-30,1601.66,1.2516,1279.689997,7.154373137737217
2005-10-07,1555.92,1.2771,1218.322763,7.10523040741794
2005-10-14,1544.29,1.4487,1065.983295,6.971652933871296
2005-10-21,1565.12,1.4288,1095.408735,6.998882846573807
2005-10-28,1557.11,1.4376,1083.131608,6.987611761316812
2005-11-04,1628.03,1.3824,1177.683738,7.07130485448181
2005-11-11,1653.36,1.3651,1211.164017,7.099337173688376
2005-11-18,1679.85,0.5338,3146.965155,8.054193824553154
2005-11-25,1701.05,0.5274,3225.350777,8.078796991377072
2005-12-02,1709.1,0.5253,3253.569389,8.087507946201079
2005-12-09,1692.62,0.5342,3168.513665,8.061017881520565
2005-12-16,1688.68,0.5354,3154.053044,8.05644358539044
2005-12-23,1682.92,0.5077,3314.7922,8.106150215888977
2005-12-30,1645.2,0.5192,3168.721109,8.061083349822583
2006-01-06,1734.99,0.4832,3590.625,8.18608156103712
2006-01-13,1746.78,0.3556,4912.204724,8.499478147297223
2006-01-20,1676.38,0.3706,4523.421479,8.417023950853768
2006-01-27,1711.11,0.3645,4694.403292,8.454126289209494
2006-02-03,1664.53,0.3791,4390.741229,8.387253336691241
2006-02-10,1663.75,0.381,4366.7979,8.381785273504653
2006-02-17,1675.21,0.3859,4341.046903,8.37587081989453
2006-02-24,1676.5,0.3885,4315.315315,8.36992567500765
2006-03-03,1684.32,0.3868,4354.498449,8.378964715949472
2006-03-10,1648.23,0.3957,4165.35254,8.33455619447627
2006-03-17,1685.66,0.3869,4356.836392,8.379501474804183
2006-03-24,1679.81,0.3851,4362.009868,8.380688209024031
2006-03-31,1703.66,0.3814,4466.858941,8.404440742836957
2006-04-07,1723.03,0.377,4570.371353,8.427349739449072
2006-04-14,1712.07,0.3845,4452.717815,8.401269933675316
2006-04-21,1709.02,0.3881,4403.555785,8.39016762649728
2006-04-28,1700.71,0.3923,4335.228142,8.374529515742184
2006-05-05,1713.84,0.393,4360.916031,8.380437413128618
2006-05-12,1635.81,0.4148,3943.611379,8.279852176131351
2006-05-19,1600.86,0.4289,3732.478433,8.224827751231883
2006-05-26,1606.37,0.4309,3727.941518,8.223611488450675
2006-06-02,1612.9,0.4298,3752.675663,8.230224374670453
2006-06-09,1550.97,0.4484,3458.898305,8.148705408389336
2006-06-16,1562.84,0.446,3504.125561,8.161696285032995
2006-06-23,1551.05,0.4484,3459.076717,8.148756987644674
2006-06-30,1575.23,0.4415,3567.90487,8.179733831348948
2006-07-07,1533.71,0.4534,3382.68637,8.126425456827162
2006-07-14,1462.17,0.4772,3064.06119,8.027496501287704
2006-07-21,1451.88,0.4806,3020.973783,8.01333450309678
2006-07-28,1510.3,0.4632,3260.578584,8.089659938367687
2006-08-04,1503.84,0.472,3186.101695,8.066553409295171
2006-08-11,1486.74,0.4779,3110.985562,8.042694855935405
2006-08-18,1576.46,0.4587,3436.799651,8.142295983326534
2006-08-25,1557.7,0.4688,3322.738908,8.10854469409709
2006-09-01,1589.47,0.4596,3458.376849,8.148554639195
2006-09-08,1574.71,0.4655,3382.835661,8.126469589711318
2006-09-15,1632.44,0.4495,3631.679644,8.197450532086512
2006-09-22,1622.37,0.4499,3606.068015,8.190373265204908
2006-09-29,1654.13,0.4414,3747.462619,8.228834255010392
2006-10-06,1684.88,0.4335,3886.689735,8.265313106467474
2006-10-13,1727.21,0.4227,4086.13674,8.315355240309534
2006-10-20,1709.58,0.427,4003.700234,8.294974270999099
2006-10-27,1717.61,0.4238,4052.878716,8.307182701680192
2006-11-03,1703.98,0.4311,3952.6328,8.282137167507177
2006-11-10,1751.11,0.4212,4157.431149,8.332652650256472
2006-11-17,1800.67,0.4173,4315.049125,8.369863988157242
